species,dd long,dd lat
flood,280881.35259455,4755248.79613620
flood,282381.35259455,4755248.79613620
flood,285381.35259455,4755248.79613620
flood,285881.35259455,4755248.79613620
flood,286381.35259455,4755248.79613620
flood,286881.35259455,4755248.79613620
flood,282381.35259455,4754748.79613620
flood,282881.35259455,4754748.79613620
flood,283381.35259455,4754748.79613620
flood,283881.35259455,4754748.79613620
flood,284381.35259455,4754748.79613620
flood,284881.35259455,4754748.79613620
flood,285381.35259455,4754748.79613620
flood,285881.35259455,4754748.79613620
flood,286381.35259455,4754748.79613620
flood,286881.35259455,4754748.79613620
flood,284881.35259455,4754248.79613620
flood,285381.35259455,4754248.79613620
flood,285881.35259455,4754248.79613620
flood,286381.35259455,4754248.79613620
flood,286881.35259455,4754248.79613620
flood,284881.35259455,4753748.79613620
flood,285381.35259455,4753748.79613620
flood,285881.35259455,4753748.79613620
flood,286381.35259455,4753748.79613620
flood,286881.35259455,4753748.79613620
flood,284881.35259455,4753248.79613620
flood,285381.35259455,4753248.79613620
flood,285881.35259455,4753248.79613620
flood,286381.35259455,4753248.79613620
flood,286881.35259455,4753248.79613620
flood,285381.35259455,4752748.79613620
flood,285881.35259455,4752748.79613620
flood,286381.35259455,4752748.79613620
flood,285381.35259455,4752248.79613620
flood,285881.35259455,4752248.79613620
flood,286381.35259455,4752248.79613620
flood,286881.35259455,4752248.79613620
flood,233881.35259455,4751748.79613620
flood,285381.35259455,4751748.79613620
flood,285881.35259455,4751748.79613620
flood,286381.35259455,4751748.79613620
flood,286881.35259455,4751748.79613620
flood,284881.35259455,4751248.79613620
flood,285381.35259455,4751248.79613620
flood,285881.35259455,4751248.79613620
flood,286381.35259455,4751248.79613620
flood,285381.35259455,4750748.79613620
flood,285881.35259455,4750748.79613620
flood,286381.35259455,4750748.79613620
flood,234381.35259455,4750248.79613620
flood,285381.35259455,4750248.79613620
flood,285881.35259455,4750248.79613620
flood,286381.35259455,4750248.79613620
flood,285381.35259455,4749748.79613620
flood,285881.35259455,4749748.79613620
flood,286381.35259455,4749748.79613620
flood,286881.35259455,4749748.79613620
flood,234381.35259455,4749248.79613620
flood,285381.35259455,4749248.79613620
flood,285881.35259455,4749248.79613620
flood,286381.35259455,4749248.79613620
flood,286881.35259455,4749248.79613620
flood,285881.35259455,4748748.79613620
flood,286381.35259455,4748748.79613620
flood,286881.35259455,4748748.79613620
flood,287381.35259455,4748748.79613620
flood,286381.35259455,4748248.79613620
flood,286881.35259455,4748248.79613620
flood,287381.35259455,4748248.79613620
flood,286881.35259455,4747748.79613620
flood,287381.35259455,4747748.79613620
flood,287881.35259455,4747748.79613620
flood,286881.35259455,4747248.79613620
flood,287381.35259455,4747248.79613620
flood,287881.35259455,4747248.79613620
flood,234881.35259455,4746748.79613620
flood,286881.35259455,4746748.79613620
flood,287381.35259455,4746748.79613620
